weapon_name,weapon_link
Tungsten Bow,/wiki/Tungsten_Bow
Gold Bow,/wiki/Gold_Bow
Platinum Bow,/wiki/Platinum_Bow
Demon Bow,/wiki/Demon_Bow
Tendon Bow,/wiki/Tendon_Bow
Blood Rain Bow,/wiki/Blood_Rain_Bow
The Bee's Knees,/wiki/The_Bee%27s_Knees
Hellwing Bow,/wiki/Hellwing_Bow
Molten Fury,/wiki/Molten_Fury
Sharanga,/wiki/Sharanga
Pearlwood Bow,/wiki/Pearlwood_Bow
Marrow,/wiki/Marrow
Ice Bow,/wiki/Ice_Bow
Daedalus Stormbow,/wiki/Daedalus_Stormbow
Shadowflame Bow,/wiki/Shadowflame_Bow
Phantom Phoenix,/wiki/Phantom_Phoenix
Pulse Bow,/wiki/Pulse_Bow
Aerial Bane,/wiki/Aerial_Bane
Tsunami,/wiki/Tsunami
Eventide,/wiki/Eventide
Phantasm,/wiki/Phantasm
Repeaters,/wiki/Repeaters
Cobalt Repeater,/wiki/Cobalt_Repeater
Palladium Repeater,/wiki/Palladium_Repeater
Mythril Repeater,/wiki/Mythril_Repeater
Orichalcum Repeater,/wiki/Orichalcum_Repeater
Adamantite Repeater,/wiki/Adamantite_Repeater
Titanium Repeater,/wiki/Titanium_Repeater
Hallowed Repeater,/wiki/Hallowed_Repeater
Vulcan Repeater,/wiki/Vulcan_Repeater
Chlorophyte Shotbow,/wiki/Chlorophyte_Shotbow
Stake Launcher,/wiki/Stake_Launcher
Guns,/wiki/Guns
bullets,/wiki/Bullets
Red Ryder,/wiki/Red_Ryder
Flintlock Pistol,/wiki/Flintlock_Pistol
Musket,/wiki/Musket
The Undertaker,/wiki/The_Undertaker
Sandgun,/wiki/Sandgun
Revolver,/wiki/Revolver
Minishark,/wiki/Minishark
Boomstick,/wiki/Boomstick
Quad-Barrel Shotgun,/wiki/Quad-Barrel_Shotgun
Handgun,/wiki/Handgun
Phoenix Blaster,/wiki/Phoenix_Blaster
Pew-matic Horn,/wiki/Pew-matic_Horn
Clockwork Assault Rifle,/wiki/Clockwork_Assault_Rifle
Gatligator,/wiki/Gatligator
Shotgun,/wiki/Shotgun
Onyx Blaster,/wiki/Onyx_Blaster
Coin Gun,/wiki/Coin_Gun
Uzi,/wiki/Uzi
Megashark,/wiki/Megashark
Venus Magnum,/wiki/Venus_Magnum
Tactical Shotgun,/wiki/Tactical_Shotgun
Sniper Rifle,/wiki/Sniper_Rifle
Candy Corn Rifle,/wiki/Candy_Corn_Rifle
Chain Gun,/wiki/Chain_Gun
Xenopopper,/wiki/Xenopopper
Vortex Beater,/wiki/Vortex_Beater
S.D.M.G.,/wiki/S.D.M.G.
Launchers,/wiki/Launchers
rockets,/wiki/Rockets
Grenade Launcher,/wiki/Grenade_Launcher
Proximity Mine Launcher,/wiki/Proximity_Mine_Launcher
Rocket Launcher,/wiki/Rocket_Launcher
Nail Gun,/wiki/Nail_Gun
Stynger,/wiki/Stynger
Jack 'O Lantern Launcher,/wiki/Jack_%27O_Lantern_Launcher
Snowman Cannon,/wiki/Snowman_Cannon
Celebration,/wiki/Celebration
Electrosphere Launcher,/wiki/Electrosphere_Launcher
Celebration Mk2,/wiki/Celebration_Mk2
Paper Airplane,/wiki/Paper_Airplane
White Paper Airplane,/wiki/White_Paper_Airplane
Shuriken,/wiki/Shuriken
Throwing Knife,/wiki/Throwing_Knife
Poisoned Knife,/wiki/Poisoned_Knife
Snowball,/wiki/Snowball
Spiky Ball,/wiki/Spiky_Ball
Bone,/wiki/Bone
Rotten Egg,/wiki/Rotten_Egg
Star Anise,/wiki/Star_Anise
Molotov Cocktail,/wiki/Molotov_Cocktail
Frost Daggerfish,/wiki/Frost_Daggerfish
Javelin,/wiki/Javelin
Bone Javelin,/wiki/Bone_Javelin
Bone Throwing Knife,/wiki/Bone_Throwing_Knife
Grenade,/wiki/Grenade
Sticky Grenade,/wiki/Sticky_Grenade
Bouncy Grenade,/wiki/Bouncy_Grenade
Beenade,/wiki/Beenade
Happy Grenade,/wiki/Happy_Grenade
damage,/wiki/Damage
knockback,/wiki/Knockback
Weapon Rack,/wiki/Weapon_Rack
Flare Gun,/wiki/Flare_Gun
Ale Tosser,/wiki/Ale_Tosser
Blowpipe,/wiki/Blowpipe
Blowgun,/wiki/Blowgun
Snowball Cannon,/wiki/Snowball_Cannon
Paintball Gun,/wiki/Paintball_Gun
Harpoon,/wiki/Harpoon
Egg Cannon,/wiki/Egg_Cannon
Star Cannon,/wiki/Star_Cannon
Toxikarp,/wiki/Toxikarp
Dart Pistol,/wiki/Dart_Pistol
Dart Rifle,/wiki/Dart_Rifle
Flamethrower,/wiki/Flamethrower
Piranha Gun,/wiki/Piranha_Gun
Elf Melter,/wiki/Elf_Melter
Super Star Shooter,/wiki/Super_Star_Shooter
Magic weapons,/wiki/Magic_weapons
Wand of Sparking,/wiki/Wand_of_Sparking
Wand of Frosting,/wiki/Wand_of_Frosting
Thunder Zapper,/wiki/Thunder_Zapper
Amethyst Staff,/wiki/Amethyst_Staff
Topaz Staff,/wiki/Topaz_Staff
Sapphire Staff,/wiki/Sapphire_Staff
Emerald Staff,/wiki/Emerald_Staff
Ruby Staff,/wiki/Ruby_Staff
Diamond Staff,/wiki/Diamond_Staff
Amber Staff,/wiki/Amber_Staff
Vilethorn,/wiki/Vilethorn
Weather Pain,/wiki/Weather_Pain
Magic Missile,/wiki/Magic_Missile
Aqua Scepter,/wiki/Aqua_Scepter
Flower of Fire,/wiki/Flower_of_Fire
Flamelash,/wiki/Flamelash
Sky Fracture,/wiki/Sky_Fracture
Crystal Serpent,/wiki/Crystal_Serpent
Flower of Frost,/wiki/Flower_of_Frost
Frost Staff,/wiki/Frost_Staff
Crystal Vile Shard,/wiki/Crystal_Vile_Shard
Life Drain,/wiki/Life_Drain
Meteor Staff,/wiki/Meteor_Staff
Poison Staff,/wiki/Poison_Staff
Rainbow Rod,/wiki/Rainbow_Rod
Unholy Trident,/wiki/Unholy_Trident
Tome of Infinite Wisdom,/wiki/Tome_of_Infinite_Wisdom
Venom Staff,/wiki/Venom_Staff
Nettle Burst,/wiki/Nettle_Burst
Bat Scepter,/wiki/Bat_Scepter
Blizzard Staff,/wiki/Blizzard_Staff
Inferno Fork,/wiki/Inferno_Fork
Shadowbeam Staff,/wiki/Shadowbeam_Staff
Spectre Staff,/wiki/Spectre_Staff
Resonance Scepter,/wiki/Resonance_Scepter
Razorpine,/wiki/Razorpine
Staff of Earth,/wiki/Staff_of_Earth
Betsy's Wrath,/wiki/Betsy%27s_Wrath
Gray Zapinator,/wiki/Gray_Zapinator
Space Gun,/wiki/Space_Gun
Bee Gun,/wiki/Bee_Gun
Roman candle,/wiki/Roman_candle
Laser Rifle,/wiki/Laser_Rifle
Orange Zapinator,/wiki/Orange_Zapinator
Zapinator,/wiki/Zapinator
Wasp Gun,/wiki/Wasp_Gun
Leaf Blower,/wiki/Leaf_Blower
Rainbow Gun,/wiki/Rainbow_Gun
Heat Ray,/wiki/Heat_Ray
Laser Machinegun,/wiki/Laser_Machinegun
Charged Blaster Cannon,/wiki/Charged_Blaster_Cannon
Bubble Gun,/wiki/Bubble_Gun
Water Bolt,/wiki/Water_Bolt
Book of Skulls,/wiki/Book_of_Skulls
Demon Scythe,/wiki/Demon_Scythe
Cursed Flames,/wiki/Cursed_Flames
Golden Shower,/wiki/Golden_Shower
Crystal Storm,/wiki/Crystal_Storm
Magnet Sphere,/wiki/Magnet_Sphere
Razorblade Typhoon,/wiki/Razorblade_Typhoon
Lunar Flare,/wiki/Lunar_Flare
Crimson Rod,/wiki/Crimson_Rod
Ice Rod,/wiki/Ice_Rod
Clinger Staff,/wiki/Clinger_Staff
Nimbus Rod,/wiki/Nimbus_Rod
Magic Dagger,/wiki/Magic_Dagger
Medusa Head,/wiki/Medusa_Head
Spirit Flame,/wiki/Spirit_Flame
Shadowflame Hex Doll,/wiki/Shadowflame_Hex_Doll
Blood Thorn,/wiki/Blood_Thorn
Magical Harp,/wiki/Magical_Harp
Toxic Flask,/wiki/Toxic_Flask
Nightglow,/wiki/Nightglow
Stellar Tune,/wiki/Stellar_Tune
Nebula Arcanum,/wiki/Nebula_Arcanum
Nebula Blaze,/wiki/Nebula_Blaze
Last Prism,/wiki/Last_Prism
Summon weapons,/wiki/Summon_weapons
Finch Staff,/wiki/Finch_Staff
Slime Staff,/wiki/Slime_Staff
Flinx Staff,/wiki/Flinx_Staff
Abigail's Flower,/wiki/Abigail%27s_Flower
Hornet Staff,/wiki/Hornet_Staff
Vampire Frog Staff,/wiki/Vampire_Frog_Staff
Imp Staff,/wiki/Imp_Staff
Blade Staff,/wiki/Blade_Staff
Spider Staff,/wiki/Spider_Staff
Pirate Staff,/wiki/Pirate_Staff
Sanguine Staff,/wiki/Sanguine_Staff
Optic Staff,/wiki/Optic_Staff
Deadly Sphere Staff,/wiki/Deadly_Sphere_Staff
Pygmy Staff,/wiki/Pygmy_Staff
Raven Staff,/wiki/Raven_Staff
Desert Tiger Staff,/wiki/Desert_Tiger_Staff
Tempest Staff,/wiki/Tempest_Staff
Terraprisma,/wiki/Terraprisma
Xeno Staff,/wiki/Xeno_Staff
Stardust Cell Staff,/wiki/Stardust_Cell_Staff
Stardust Dragon Staff,/wiki/Stardust_Dragon_Staff
Lightning Aura Rod,/wiki/Lightning_Aura_Rod
Flameburst Rod,/wiki/Flameburst_Rod
Explosive Trap Rod,/wiki/Explosive_Trap_Rod
Ballista Rod,/wiki/Ballista_Rod
Houndius Shootius,/wiki/Houndius_Shootius
Queen Spider Staff,/wiki/Queen_Spider_Staff
Lightning Aura Cane,/wiki/Lightning_Aura_Cane
Flameburst Cane,/wiki/Flameburst_Cane
Explosive Trap Cane,/wiki/Explosive_Trap_Cane
Ballista Cane,/wiki/Ballista_Cane
Staff of the Frost Hydra,/wiki/Staff_of_the_Frost_Hydra
Lightning Aura Staff,/wiki/Lightning_Aura_Staff
Flameburst Staff,/wiki/Flameburst_Staff
Explosive Trap Staff,/wiki/Explosive_Trap_Staff
Ballista Staff,/wiki/Ballista_Staff
Lunar Portal Staff,/wiki/Lunar_Portal_Staff
Rainbow Crystal Staff,/wiki/Rainbow_Crystal_Staff
Solar Eruption,/wiki/Solar_Eruption
Leather Whip,/wiki/Leather_Whip
Snapthorn,/wiki/Snapthorn
Spinal Tap,/wiki/Spinal_Tap
Firecracker,/wiki/Firecracker
Cool Whip,/wiki/Cool_Whip
Durendal,/wiki/Durendal
Dark Harvest,/wiki/Dark_Harvest
Morning Star,/wiki/Morning_Star
Kaleidoscope,/wiki/Kaleidoscope
Snowball Launcher,/wiki/Snowball_Launcher
Cannon,/wiki/Cannon
Bunny Cannon,/wiki/Bunny_Cannon
Land Mine,/wiki/Land_Mine
Explosives (class),/wiki/Explosives_(class)
Bomb,/wiki/Bomb
Sticky Bomb,/wiki/Sticky_Bomb
Bouncy Bomb,/wiki/Bouncy_Bomb
Scarab Bomb,/wiki/Scarab_Bomb
Dynamite,/wiki/Dynamite
Sticky Dynamite,/wiki/Sticky_Dynamite
Bouncy Dynamite,/wiki/Bouncy_Dynamite
Bomb Fish,/wiki/Bomb_Fish
Holy Hand Grenade,/wiki/Holy_Hand_Grenade
Holy Water,/wiki/Holy_Water
Unholy Water,/wiki/Unholy_Water
Blood Water,/wiki/Blood_Water
Unobtainable items,/wiki/Unobtainable_items
PC,/wiki/Category:PC_content
Console,/wiki/Category:Console_content
Mobile,/wiki/Category:Mobile_content
tModLoader,/wiki/Category:TModLoader_content
tModLoader 1.3-Legacy,/wiki/Category:TModLoader_1.3-Legacy_content
PC,/wiki/PC_version
Console,/wiki/Console_version
Mobile,/wiki/Mobile_version
tModLoader,/wiki/TModLoader
tModLoader Legacy,/wiki/TModLoader
Terraria,/wiki/Terraria
Boring Bow,/wiki/Boring_Bow
Etherian Javelin,/wiki/Etherian_Javelin
First Fractal,/wiki/First_Fractal
Skull Bow,/wiki/Skull_Bow
Unobtainable items,/wiki/Unobtainable_items
content that was removed or replaced,/wiki/Category:Historical_content
Terraria,/wiki/Terraria
PC,/wiki/Category:PC_content
PC,/wiki/PC_version
Terraria,/wiki/Terraria
Scythe,/wiki/Scythe
Soul Scythe,/wiki/Soul_Scythe
Icemourne,/wiki/Icemourne
V,https://terraria.fandom.com/wiki/Template:Master_Template_Weapons/content
D,https://terraria.fandom.com/wiki/Template_talk:Master_Template_Weapons/content
E,https://terraria.fandom.com/wiki/Template:Master_Template_Weapons/content?action=edit
P,https://terraria.fandom.com/wiki/Template:Master_Template_Weapons?action=purge
(List),/wiki/List_of_weapons
Melee weapons,/wiki/Melee_weapons
Ranged weapons,/wiki/Ranged_weapons
Magic weapons,/wiki/Magic_weapons
Summoning weapons,/wiki/Summoning_weapons
Throwing weapons,/wiki/Throwing_weapons
Ore,/wiki/Ores
Swords,/wiki/Swords
Copper,/wiki/Copper_Shortsword
Tin,/wiki/Tin_Shortsword
Iron,/wiki/Iron_Shortsword
Lead,/wiki/Lead_Shortsword
Silver,/wiki/Silver_Shortsword
Tungsten,/wiki/Tungsten_Shortsword
Gold,/wiki/Gold_Shortsword
Platinum,/wiki/Platinum_Shortsword
Copper,/wiki/Copper_Broadsword
Tin,/wiki/Tin_Broadsword
Iron,/wiki/Iron_Broadsword
Lead,/wiki/Lead_Broadsword
Silver,/wiki/Silver_Broadsword
Tungsten,/wiki/Tungsten_Broadsword
Gold,/wiki/Gold_Broadsword
Platinum,/wiki/Platinum_Broadsword
Light's Bane,/wiki/Light%27s_Bane
Blood Butcherer,/wiki/Blood_Butcherer
Fiery Greatsword,/wiki/Fiery_Greatsword
Cobalt,/wiki/Cobalt_Sword
Palladium,/wiki/Palladium_Sword
Mythril,/wiki/Mythril_Sword
Orichalcum,/wiki/Orichalcum_Sword
Adamantite,/wiki/Adamantite_Sword
Titanium,/wiki/Titanium_Sword
Saber,/wiki/Chlorophyte_Saber
Claymore,/wiki/Chlorophyte_Claymore
Wooden Sword,/wiki/Wooden_Sword
Boreal,/wiki/Boreal_Wood_Sword
Palm,/wiki/Palm_Wood_Sword
Mahogany,/wiki/Rich_Mahogany_Sword
Ebonwood,/wiki/Ebonwood_Sword
Shadewood,/wiki/Shadewood_Sword
Ash,/wiki/Ash_Wood_Sword
Cactus Sword,/wiki/Cactus_Sword
Zombie Arm,/wiki/Zombie_Arm
Gladius,/wiki/Gladius
Ruler,/wiki/Ruler
Umbrella,/wiki/Umbrella
Tentacle Spike,/wiki/Tentacle_Spike
Mandible Blade,/wiki/Mandible_Blade
Bladed Glove,/wiki/Bladed_Glove
Stylish Scissors,/wiki/Stylish_Scissors
Candy Cane Sword,/wiki/Candy_Cane_Sword
Bat Bat,/wiki/Bat_Bat
Bone Sword,/wiki/Bone_Sword
Katana,/wiki/Katana
Ice Blade,/wiki/Ice_Blade
Muramasa,/wiki/Muramasa
Exotic Scimitar,/wiki/Exotic_Scimitar
Phaseblade,/wiki/Phaseblade
Starfury,/wiki/Starfury
Purple Clubberfish,/wiki/Purple_Clubberfish
Enchanted Sword,/wiki/Enchanted_Sword_(item)
Bee Keeper,/wiki/Bee_Keeper
Blade of Grass,/wiki/Blade_of_Grass
Falcon Blade,/wiki/Falcon_Blade
Night's Edge,/wiki/Night%27s_Edge
Hardmode,/wiki/Hardmode
Pearlwood Sword,/wiki/Pearlwood_Sword
Classy Cane,/wiki/Classy_Cane
Ham Bat,/wiki/Ham_Bat
Slap Hand,/wiki/Slap_Hand
Breaker Blade,/wiki/Breaker_Blade
Phasesaber,/wiki/Phasesaber
Ice Sickle,/wiki/Ice_Sickle
Cutlass,/wiki/Cutlass
Frostbrand,/wiki/Frostbrand
Excalibur,/wiki/Excalibur
Seedler,/wiki/Seedler
Beam Sword,/wiki/Beam_Sword
Bladetongue,/wiki/Bladetongue
Brand of the Inferno,/wiki/Brand_of_the_Inferno
Death Sickle,/wiki/Death_Sickle
Fetid Baghnakhs,/wiki/Fetid_Baghnakhs
Keybrand,/wiki/Keybrand
Psycho Knife,/wiki/Psycho_Knife
Flying Dragon,/wiki/Flying_Dragon
The Horseman's Blade,/wiki/The_Horseman%27s_Blade
Christmas Tree Sword,/wiki/Christmas_Tree_Sword
True Excalibur,/wiki/True_Excalibur
True Night's Edge,/wiki/True_Night%27s_Edge
Terra Blade,/wiki/Terra_Blade
Influx Waver,/wiki/Influx_Waver
Starlight,/wiki/Starlight
Star Wrath,/wiki/Star_Wrath
Meowmere,/wiki/Meowmere
Tizona,/wiki/Tizona
Spears,/wiki/Spears
Ore,/wiki/Ores
Cobalt Naginata,/wiki/Cobalt_Naginata
Palladium Pike,/wiki/Palladium_Pike
Mythril Halberd,/wiki/Mythril_Halberd
Orichalcum Halberd,/wiki/Orichalcum_Halberd
Adamantite Glaive,/wiki/Adamantite_Glaive
Titanium Trident,/wiki/Titanium_Trident
Gungnir,/wiki/Gungnir
Chlorophyte Partisan,/wiki/Chlorophyte_Partisan
Spear,/wiki/Spear
Trident,/wiki/Trident
Storm Spear,/wiki/Storm_Spear
The Rotted Fork,/wiki/The_Rotted_Fork
Swordfish,/wiki/Swordfish
Dark Lance,/wiki/Dark_Lance
Mushroom Spear,/wiki/Mushroom_Spear
Ghastly Glaive,/wiki/Ghastly_Glaive
Obsidian Swordfish,/wiki/Obsidian_Swordfish
North Pole,/wiki/North_Pole
